0.0.1-10.24.24-10:45,493.6,10000,4936.0,1000
0.0.1-10.24.24-10:45,482.7,10000,4827.0,1000
0.0.1-10.24.24-10:45,495.2,10000,4952.0,1000
0.0.1-10.24.24-10:45,513.2,10000,5132.0,1000
0.0.1-10.24.24-10:45,513.5,10000,5135.0,1000
0.0.1-10.24.24-10:45,549.44,100000,54944.0,
0.0.1-10.24.24-10:45,549.45,100000,54945.0,
0.0.1-10.24.24-10:45,576.79,100000,57679.0,
0.0.1-10.24.24-10:45,620.3,100000,62030.0,
0.0.1-10.24.24-10:45,575.18,100000,57518.0,
0.0.1-10.24.24-10:45,548.92,100000,54892.0,1000
0.0.1-10.24.24-10:45,547.26,100000,54726.0,1000
0.0.1-10.24.24-10:45,536.58,100000,53658.0,1000
0.0.1-10.24.24-10:45,529.38,100000,52938.0,1000
